"Vendor","postal_code_vendor","contract_date","contract_value","commodity_code","commodity_code_descn","economic_object_code","economic_object_code_descn","contract_period_start","delivery_date","reporting_period"
"DR. A. ROY LILLY","A1W","2021-03-03",254144.1,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-10-31","2024-2025-Q2"
"DR. BRAD KELLN","B3J","2014-06-01",11450,"G009","Other Health Services","0491","Management consulting","2014-06-01","2021-03-31","2020-2021-Q1"
"DR. E. PETER SEVIOUR","A1A","2021-03-03",484875,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-05-31","2023-2024-Q4"
"DR. E. PETER SEVIOUR","A1A","2021-03-03",374490,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-03-31","2022-2023-Q3"
"DR. E. PETER SEVIOUR","A1A","2021-03-03",463275,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-03-31","2022-2023-Q4"
"DR. E. PETER SEVIOUR","A1A","2021-03-03",648975,"G009","Other Health Services","0491","Management consulting","2021-03-03","2025-06-30","2024-2025-Q4"
"DR. E. PETER SEVIOUR","A1A","2021-03-03",509835,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-08-31","2024-2025-Q1"
"DR. E. PETER SEVIOUR","A1A","2021-03-03",531435,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-10-31","2024-2025-Q2"
"DR. E. PETER SEVIOUR","A1A","2020-03-01",11902.5,"G009","Other Health Services","0491","Management consulting","2020-03-01","2020-03-31","2019-2020-Q4"
"DR. E. PETER SEVIOUR","A1A","2020-01-01",27600,"G009","Other Health Services","0491","Management consulting","2020-01-01","2020-02-29","2019-2020-Q4"
"DR. E. PETER SEVIOUR","A1A","2019-06-26",27600,"G009","Other Health Services","0491","Management consulting","2019-06-26","2020-03-06","2019-2020-Q1"
"DR. E. PETER SEVIOUR","A1A","2019-04-09",24999,"G009","Other Health Services","0491","Management consulting","2019-04-09","2019-06-30","2019-2020-Q1"
"DR. JAMES PAUL HICKEY","A1B","2017-03-31",47839.98,"G009","Other Health Services","0491","Management consulting","2017-03-31","2018-05-31","2016-2017-Q4"
"DR. RANDOLPH BOYD RUSSELL","E3B","2023-02-01",1009131.5,"G009","Other Health Services","0491","Management consulting","2023-02-01","2025-03-31","2023-2024-Q4"
"DR. RANDOLPH BOYD RUSSELL","E3B","2023-02-01",531440,"G009","Other Health Services","0491","Management consulting","2023-02-01","2024-01-31","2022-2023-Q4"
"DR. RANDOLPH BOYD RUSSELL","E3B","2023-02-01",1559291.47,"G009","Other Health Services","0491","Management consulting","2023-02-01","2026-01-31","2024-2025-Q4"
"DR. RANDOLPH BOYD RUSSELL","E3B","2020-02-01",1499783.99,"G009","Other Health Services","0491","Management consulting","2020-02-01","2023-01-31","2019-2020-Q4"
"DR. RANDOLPH BOYD RUSSELL","E3B","2019-12-31",39987.5,"G009","Other Health Services","0491","Management consulting","2019-12-31","2020-01-31","2019-2020-Q3"
"DR. RANDOLPH BOYD RUSSELL","E3B","2015-10-08",1399200,"G009","Other Health Services","0491","Management consulting","2015-10-08","2019-12-31","2019-2020-Q3"
"DRS. JAMES CONSULTING LLC","99223-6223","2023-08-10",26842.2,"U008","Training/Curriculum Development","0491","Management consulting","2023-08-10","2025-03-31","2023-2024-Q2"
"Dalian","K2P","2019-07-01",1132938,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-07-01","2023-12-31","2023-2024-Q1"
"Dalian","K2P","2019-07-01",244080,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-07-01","2020-06-30","2019-2020-Q2"
"Dalian","K2P","2019-07-01",1377018,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-07-01","2024-12-31","2023-2024-Q3"
"Dalian","K2P","2019-05-10",766818,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-07-01","2022-06-30","2021-2022-Q1"
"Dalian","K2P","2019-05-10",488160,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-07-01","2021-06-30","2020-2021-Q1"
"Dr. Robert Daigle","E3B","2020-01-01",15000,"G009","Other Health Services","0491","Management consulting","2020-01-01","2020-12-31","2020-2021-Q2"
"Dr. Robert Daigle","E3B","2020-01-01",64850,"G009","Other Health Services","0491","Management consulting","2020-01-01","2021-12-31","2020-2021-Q3"
"Dr. Robert Daigle","E3B","2023-02-01",68640,"G009","Other Health Services","0491","Management consulting","2023-02-01","2024-01-31","2022-2023-Q4"
"Dr. Robert Daigle","E3B","2023-02-01",107380,"G009","Other Health Services","0491","Management consulting","2023-02-01","2025-01-31","2023-2024-Q4"
"Dr. Robert Daigle","E3B","2023-02-01",152140,"G009","Other Health Services","0491","Management consulting","2023-02-01","2026-01-31","2024-2025-Q4"
"ERIK N. VU MD CORP","V7L","2025-04-01",399000,"G009","Other Health Services","0491","Management consulting","2025-04-01","2027-03-31","2025-2026-Q1"
"ERIK N. VU MD CORP","V7L","2023-01-27",40104.75,"G009","Other Health Services","0491","Management consulting","2023-01-27","2024-03-31","2022-2023-Q4"
"ERIK N. VU MD CORP","V7L","2023-01-27",164145.45,"G009","Other Health Services","0491","Management consulting","2023-01-27","2024-03-31","2023-2024-Q1"
"ESRI CANADA LIMITED","M3C","2019-02-25",45058.75,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-02-25","2019-08-30","2018-2019-Q4"
"ESRI CANADA LIMITED","M3C","2019-02-25",85202,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-02-25","2022-03-31","2021-2022-Q2"
"EVISION INC.","H3J","2019-11-18",285980.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-11-18","2020-10-31","2019-2020-Q3"
"EVISION INC.","H3J","2019-11-18",119158.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-11-18","2020-10-31","2019-2020-Q4"
"FLEMING COMMUNICATIONS INC.","K1G","2024-01-12",10751.39,"E110","Industrial Investigations, Surveys and Technical Support for Multip","0473","Information technology and telecommunications consultants","2024-01-12","2024-06-14","2023-2024-Q4"
"GFL ENVIRONMENTAL INC.","S7K","2022-12-12",21001.05,"M190","Other Buildings","0499","Other professional services not elsewhere specified","2022-12-12","2023-03-31","2022-2023-Q3"
"GFL ENVIRONMENTAL INC.","S7K","2017-05-30",198975,"S099","Other Utilities","0499","Other professional services not elsewhere specified","2017-06-01","2021-05-31","2019-2020-Q4"
"GFL ENVIRONMENTAL INC.","S7K","2017-05-30",94500,"S099","Other Utilities","0499","Other professional services not elsewhere specified","2017-06-01","2021-05-31","2017-2018-Q1"
"GFL ENVIRONMENTAL INC.","S7K","2017-05-30",105000,"S099","Other Utilities","0499","Other professional services not elsewhere specified","2017-06-01","2021-05-31","2017-2018-Q4"
"Gartner Canada","K1Z","2024-02-29",51161.88,"D317","Automated News Services, Data Services, or Other Information Servic","0491","Management consulting","2024-02-29","2024-03-01","2023-2024-Q4"
"Gartner Canada","K1Z","2024-06-03",491512.32,"U099","Other Education and Training Services","0491","Management consulting","2024-06-03","2024-06-30","2024-2025-Q1"
"Gartner Canada","K1Z","2022-12-08",314128.7,"D317","Automated News Services, Data Services, or Other Information Servic","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-12-08","2023-01-31","2022-2023-Q3"
"Gartner Canada","K1Z","2022-03-02",196879.9,"D317","Automated News Services, Data Services, or Other Information Servic","0491","Management consulting","2022-03-02","2022-04-30","2021-2022-Q4"
"Gartner Canada","K1Z","2022-01-28",319351.37,"D317","Automated News Services, Data Services, or Other Information Servic","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-01-28","2022-03-31","2021-2022-Q4"
"Gartner Canada","K1Z","2021-07-29",194149.82,"D317","Automated News Services, Data Services, or Other Information Servic","0473","Information technology and telecommunications consultants","2021-07-29","2021-07-30","2021-2022-Q2"
"Gartner Canada","K1Z","2021-03-08",325146.2,"D317","Automated News Services, Data Services, or Other Information Servic","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2021-03-08","2021-03-31","2020-2021-Q4"
"Gartner Canada","K1Z","2020-02-03",311631.4,"D317","Automated News Services, Data Services, or Other Information Servic","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2020-02-03","2020-03-31","2019-2020-Q4"
"Gartner Canada","K1Z","2019-03-27",311631.4,"D317","Automated News Services, Data Services, or Other Information Servic","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2019-03-27","2019-04-01","2018-2019-Q4"
"Gartner Canada","K1Z","2018-01-02",237243.5,"D317","Automated News Services, Data Services, or Other Information Servic","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2018-01-02","2018-03-31","2017-2018-Q4"
"Gartner Canada","K1Z","2025-03-31",52997,"D317","Automated News Services, Data Services, or Other Information Servic","0491","Management consulting","2025-03-31","2025-03-31","2024-2025-Q4"
"HARRIS CANADA SYSTEM INC.","V7X","2019-03-26",44436.46,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-03-26","2019-12-31","2018-2019-Q4"
"HUBSTREAM LLC","98007","2022-03-30",50516.4,"D317","Automated News Services, Data Services, or Other Information Servic","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-03-30","2022-06-30","2021-2022-Q4"
"I4C INFORMATION TECHNOLOGY","K2K","2021-12-01",991575.01,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2021-12-01","2024-03-31","2022-2023-Q4"
"I4C INFORMATION TECHNOLOGY","K2K","2021-12-01",1209365.56,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2021-12-01","2025-03-31","2023-2024-Q4"
"I4C INFORMATION TECHNOLOGY","K2K","2021-10-06",432225,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2021-12-01","2023-03-31","2021-2022-Q3"
"IBI GROUP PROFESSIONAL SERVICES","M7A","2021-07-16",11890.71,"D301","ADP Facility Operation and Maintenance Services","0473","Information technology and telecommunications consultants","2021-07-16","2021-08-31","2021-2022-Q2"
"IBI GROUP PROFESSIONAL SERVICES","M7A","2018-01-08",496689.71,"D301","ADP Facility Operation and Maintenance Services","0473","Information technology and telecommunications consultants","2018-01-08","2023-03-31","2020-2021-Q2"
"INFO-TECH RESEARCH GROUP","N6A","2022-04-05",328136.07,"D317","Automated News Services, Data Services, or Other Information Servic","0491","Management consulting","2022-04-05","2022-04-01","2022-2023-Q1"
"LANSDOWNE TECHNOLOGIES INC","K1P","2020-01-23",10259.55,"U099","Other Education and Training Services","0491","Management consulting","2020-01-23","2020-03-31","2019-2020-Q4"
"LEXIPOL LLC","75034","2023-02-07",206838.94,"D301","ADP Facility Operation and Maintenance Services","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-02-08","2024-02-07","2022-2023-Q4"
"LEXIPOL LLC","75034","2023-02-07",620516.82,"D301","ADP Facility Operation and Maintenance Services","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-02-08","2025-02-07","2023-2024-Q4"
"LEXIPOL LLC","75034","2023-02-07",827355.76,"D301","ADP Facility Operation and Maintenance Services","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-02-08","2026-02-07","2024-2025-Q4"
"MINISTER OF FINANCE","K1A","2017-07-05",2235600,"D399","Other ADP and Telecommunications Services (incl. data storage on ta","0473","Information technology and telecommunications consultants","2017-07-05","2018-03-31","2017-2018-Q2"
"MODIS CANADA INC","K1P","2023-06-05",318714.24,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-06-05","2024-05-02","2023-2024-Q1"
"MODIS CANADA INC","K1P","2023-01-04",445635.84,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-01-04","2024-05-02","2022-2023-Q4"
"MODIS CANADA INC","K1P","2023-01-04",784093.44,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-01-04","2024-05-02","2023-2024-Q1"
"MODIS CANADA INC","K1P","2022-12-07",1997252.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-12-07","2024-03-31","2022-2023-Q3"
"MODIS CANADA INC","K1P","2022-12-07",289590.75,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-12-07","2024-03-31","2022-2023-Q3"
"MODIS CANADA INC","K1P","2022-11-07",277154.47,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-11-07","2024-05-02","2023-2024-Q3"
"MODIS CANADA INC","K1P","2022-11-07",157296,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-11-07","2023-03-31","2022-2023-Q3"
"MODIS CANADA INC","K1P","2022-11-07",520378.56,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-11-07","2024-05-02","2023-2024-Q2"
"MODIS CANADA INC","K1P","2022-11-07",181920.96,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-11-07","2023-05-02","2022-2023-Q4"
"MODIS CANADA INC","K1P","2022-07-19",266535.36,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-07-19","2023-05-02","2022-2023-Q2"
"Michelle Burke","A1B","2023-03-30",34137.6,"G009","Other Health Services","0491","Management consulting","2023-03-30","2023-06-30","2022-2023-Q4"
"Michelle Burke","A1B","2017-09-27",185341.09,"G009","Other Health Services","0491","Management consulting","2015-10-09","2018-03-31","2017-2018-Q2"
"NRNS INCORPORATED","K0A","2025-05-15",279110,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-05-15","2026-03-31","2025-2026-Q1"
"NRNS INCORPORATED","K0A","2019-01-21",1615674,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-01-21","2024-03-31","2023-2024-Q1"
"NRNS INCORPORATED","K0A","2019-01-21",650880,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-01-21","2021-01-20","2019-2020-Q3"
"NRNS INCORPORATED","K0A","2019-01-21",325440,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-01-21","2020-01-20","2018-2019-Q4"
"NRNS INCORPORATED","K0A","2019-01-21",976320,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-01-21","2022-01-20","2020-2021-Q4"
"NRNS INCORPORATED","K0A","2018-08-28",105768,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-08-28","2018-12-31","2018-2019-Q2"
"OPENFRAME TECHNOLOGIES INC","H9H","2016-06-23",908305.58,"D308","Programming Services","0473","Information technology and telecommunications consultants","2016-06-23","2020-02-20","2018-2019-Q4"
"OPENFRAME TECHNOLOGIES INC","H9H","2016-06-23",605217.09,"D308","Programming Services","0473","Information technology and telecommunications consultants","2016-06-23","2019-02-20","2017-2018-Q4"
"ORANGUTECH INC","K1P","2022-04-03",128733.1,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-04-03","2022-10-13","2022-2023-Q1"
"ORANGUTECH INC","K1P","2021-09-14",1150227,"R201","Civilian Personnel Recruitment (inc. Services of Employment Agencie","0473","Information technology and telecommunications consultants","2021-09-29","2022-08-31","2021-2022-Q2"
"ORANGUTECH INC","K1P","2020-10-28",93321.05,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2020-10-28","2021-03-31","2020-2021-Q3"
"ORANGUTECH INC","K1P","2019-11-22",659665.19,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-11-22","2022-03-31","2020-2021-Q4"
"ORANGUTECH INC","K1P","2019-11-22",103960,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-11-22","2020-04-03","2019-2020-Q3"
"ORANGUTECH INC","K1P","2019-11-22",285890,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-11-22","2020-11-30","2020-2021-Q1"
"ORANGUTECH INC","K1P","2018-09-10",405103.31,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-09-10","2020-03-31","2019-2020-Q2"
"ORANGUTECH INC","K1P","2018-09-10",157409,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-09-10","2018-09-10","2018-2019-Q2"
"ORANGUTECH INC","K1P","2018-09-10",860689.93,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-09-10","2022-03-31","2021-2022-Q1"
"ORANGUTECH INC","K1P","2018-09-10",304698.85,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-09-10","2019-09-30","2018-2019-Q4"
"ORANGUTECH INC","K1P","2018-08-27",248175.12,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-08-27","2019-09-03","2018-2019-Q4"
"ORANGUTECH INC","K1P","2018-08-27",126560,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-08-27","2019-03-31","2018-2019-Q2"
"ORANGUTECH INC","K1P","2018-08-27",276199.12,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-08-27","2019-11-29","2019-2020-Q2"
"ORANGUTECH INC","K1P","2018-06-01",52432,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-06-01","2018-06-01","2018-2019-Q1"
"ORANGUTECH INC","K1P","2018-04-24",77970,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-04-24","2018-04-24","2018-2019-Q1"
"OTTAWA VALLEY VETERINARY","K0C","2017-01-17",875750,"F021","Veterinary/Animal Care Services (incl. Livestock Services)","0499","Other professional services not elsewhere specified","2012-06-01","2018-05-31","2016-2017-Q4"
"OTTAWA VALLEY VETERINARY","K0C","2016-12-01",119656.57,"F021","Veterinary/Animal Care Services (incl. Livestock Services)","0499","Other professional services not elsewhere specified","2016-12-01","2018-11-14","2018-2019-Q1"
"OTTAWA VALLEY VETERINARY","K0C","2016-11-08",241696.57,"F021","Veterinary/Animal Care Services (incl. Livestock Services)","0499","Other professional services not elsewhere specified","2016-11-08","2020-11-14","2019-2020-Q3"
"OTTAWA VALLEY VETERINARY","K0C","2016-11-08",180676.57,"F021","Veterinary/Animal Care Services (incl. Livestock Services)","0499","Other professional services not elsewhere specified","2016-11-08","2019-11-14","2018-2019-Q3"
"PHIRELIGHT SECURITY SOLUTIONS INC","K1P","2017-07-14",83055,"B329","Other Administrative Support Studies","0491","Management consulting","2017-07-14","2018-03-31","2017-2018-Q2"
"PROFESSIONAL MEDICAL CORP","A1W","2021-03-03",192144.1,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-03-31","2023-2024-Q3"
"PROFESSIONAL MEDICAL CORP","A1W","2021-03-03",151840,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-03-31","2020-2021-Q4"
"PROFESSIONAL MEDICAL CORP","A1W","2020-04-02",34960,"G009","Other Health Services","0491","Management consulting","2020-04-02","2020-12-31","2020-2021-Q2"
"PROFESSIONAL MEDICAL CORP","A1W","2020-04-02",18400,"G009","Other Health Services","0491","Management consulting","2020-04-02","2020-08-30","2020-2021-Q1"
"PROFESSIONAL MEDICAL CORP","A1W","2020-04-02",46000,"G009","Other Health Services","0491","Management consulting","2020-04-02","2021-03-31","2020-2021-Q3"
"PROFESSIONAL MEDICAL CORP","A1W","2020-01-09",22548.63,"G009","Other Health Services","0491","Management consulting","2020-01-09","2020-03-31","2019-2020-Q4"
"PROFESSIONAL MEDICAL CORP","A1W","2019-04-09",24999,"G009","Other Health Services","0491","Management consulting","2019-04-09","2019-09-30","2019-2020-Q1"
"PROFESSIONAL MEDICAL CORP","A1W","2014-03-13",549465.16,"G009","Other Health Services","0491","Management consulting","2014-03-13","2019-03-31","2018-2019-Q1"
"REPUBLIC ARCHITECTURE INC.","R3C","2024-02-07",69378.75,"C211","Architect - Engineer Services (incl. landscaping, interior layout a","0473","Information technology and telecommunications consultants","2024-02-07","2025-03-31","2023-2024-Q4"
"Ryan/Smith Design Associates Inc.","K1Y","2022-06-02",10729.35,"T005","Arts/Graphics Services","0473","Information technology and telecommunications consultants","2022-06-02","2022-09-30","2022-2023-Q1"
"S. I. Systems","T2P","2017-05-15",771923.99,"D307","Automated Information System Design and Integration Services","0473","Information technology and telecommunications consultants","2014-05-22","2017-11-22","2017-2018-Q1"
"S. I. Systems","T2P","2014-05-22",836145.56,"D307","Automated Information System Design and Integration Services","0473","Information technology and telecommunications consultants","2014-05-22","2018-04-30","2017-2018-Q4"
"S. I. Systems","T2P","2024-02-27",448610,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-02-27","2026-01-10","2025-2026-Q1"
"S. I. Systems","T2P","2022-04-14",35253.06,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-05-16","2023-01-11","2022-2023-Q1"
"S. I. Systems","T2P","2022-02-18",41010.33,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-02-18","2023-01-11","2022-2023-Q4"
"S. I. Systems","T2P","2022-02-18",63908.13,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-02-18","2023-01-11","2021-2022-Q4"
"S. I. Systems","T2P","2022-02-18",68289.29,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-02-18","2023-01-11","2021-2022-Q4"
"S. I. Systems","T2P","2022-02-18",22217.45,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-02-18","2023-01-11","2022-2023-Q3"
"S. MARGARET GRANT","B2N","2018-08-30",68999.8,"G103","Social Rehabilitation Services","0491","Management consulting","2018-08-30","2019-03-31","2018-2019-Q2"
"SAP CANADA INC.","M2P","2021-11-15",69093.85,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2021-11-15","2022-11-15","2021-2022-Q3"
"SCHMALZ CONSULTING LTD","T2P","2017-04-05",1741458.76,"G009","Other Health Services","0491","Management consulting","2011-09-09","2017-03-31","2017-2018-Q1"
"SCHMALZ CONSULTING LTD","T2P","2017-01-17",1731423.89,"G009","Other Health Services","0491","Management consulting","2011-09-09","2017-03-31","2016-2017-Q4"
"SHIFT PEOPLE DEVELOPMENT INC","A1E","2022-07-27",16387.5,"U008","Training/Curriculum Development","0491","Management consulting","2022-07-27","2023-03-31","2022-2023-Q2"
"SHIFT PEOPLE DEVELOPMENT INC","A1E","2021-03-16",22080,"U008","Training/Curriculum Development","0491","Management consulting","2021-03-16","2022-03-31","2020-2021-Q4"
"STANTEC ARCHITECTURE LIMITED","B3A","2023-05-12",15850.45,"C219","Other Architect and Engineering Services","0499","Other professional services not elsewhere specified","2023-05-12","2024-03-31","2023-2024-Q1"
"SYSTEMATIX IT SOLUTIONS INC.","K1S","2024-11-18",99180.1,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-11-18","2025-07-25","2024-2025-Q3"
"SYSTEMATIX IT SOLUTIONS INC.","K1S","2018-10-16",313733.2,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-10-16","2019-10-15","2018-2019-Q3"
"SYSTEMATIX IT SOLUTIONS INC.","K1S","2018-08-27",24652.08,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-08-27","2018-08-27","2018-2019-Q2"
"Sarah Herr PUBLIVATE INC","N7L","2022-02-10",176575.44,"T001","Market Research and Public Opinion Services (Formerly Telephone and","0491","Management consulting","2022-02-10","2023-06-30","2022-2023-Q4"
"Sarah Herr PUBLIVATE INC","N7L","2022-02-10",73382.5,"T001","Market Research and Public Opinion Services (Formerly Telephone and","0491","Management consulting","2022-02-10","2023-01-31","2021-2022-Q4"
"Sarah Herr PUBLIVATE INC","N7L","2022-02-10",261884.07,"T001","Market Research and Public Opinion Services (Formerly Telephone and","0491","Management consulting","2022-02-10","2024-03-31","2023-2024-Q3"
"T.E.S. CONTRACT SERVICES INC.","K2H","2022-03-10",263475.32,"R201","Civilian Personnel Recruitment (inc. Services of Employment Agencie","0473","Information technology and telecommunications consultants","2022-03-14","2023-01-11","2021-2022-Q4"
"TECHNOLOGY AND BUSINESS CONSULTANTS",NA,"2014-02-17",1057182.8,"D307","Automated Information System Design and Integration Services","0473","Information technology and telecommunications consultants","2014-02-17","2019-03-29","2018-2019-Q2"
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-11-01",271200,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-11-01","2021-05-09","2020-2021-Q1"
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-11-01",504262.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-11-01","2022-03-31","2021-2022-Q1"
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-10-02",144075,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-10-02","2020-05-09","2019-2020-Q3"
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-10-02",871286.95,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-10-02","2023-08-09","2023-2024-Q1"
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-10-02",810334.75,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-10-02","2023-05-09","2022-2023-Q4"
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-10-02",364990,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-10-02","2021-05-09","2020-2021-Q1"
"THE HALIFAX COMPUTER CONSULTING","K2P","2019-05-10",22600,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-05-10","2020-05-09","2019-2020-Q1"
"TPG TECHNOLOGY CONSULTING LTD.","K2A","2024-12-06",2160786,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-12-06","2025-12-05","2024-2025-Q3"
"TPG TECHNOLOGY CONSULTING LTD.","K2A","2024-12-06",3035046.67,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-12-06","2026-03-31","2024-2025-Q4"
"UNIVERSITY OF REGINA","S4P","2018-12-27",24600,"U006","Vocational/Technical","0491","Management consulting","2018-12-27","2019-02-15","2018-2019-Q3"
"UNIVERSITY OF REGINA","S4P","2018-10-12",26040,"U006","Vocational/Technical","0491","Management consulting","2018-10-12","2018-12-30","2018-2019-Q3"
"UNIVERSITY OF REGINA","S4P","2017-10-31",24300,"U006","Vocational/Technical","0491","Management consulting","2017-10-31","2018-01-31","2017-2018-Q3"
"UNIVERSITY OF REGINA","S4P","2017-03-16",24000,"U006","Vocational/Technical","0491","Management consulting","2017-03-16","2017-03-31","2016-2017-Q4"
"WESTOWER COMMUNICATIONS LTD.","R3P","2019-10-22",23606.05,"D399","Other ADP and Telecommunications Services (incl. data storage on ta","0473","Information technology and telecommunications consultants","2019-10-22","2020-03-31","2019-2020-Q3"
